"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
1;1;2;1;3;7840;1;1;1
1;1;2;2;2;12179;1;1;0
1;1;2;3;3;5354;1;1;1
1;1;2;4;2;11027;1;1;0
1;1;2;5;2;7299;2;1;0
1;1;2;6;3;3415;2;1;1
1;1;2;7;3;7844;2;1;1
1;1;2;8;1;4479;2;1;0
1;1;2;9;1;25792;3;1;0
1;1;2;10;4;4824;3;1;1
1;1;2;11;4;3662;3;1;1
1;1;2;12;3;4617;3;1;1
1;1;2;13;1;2850;1;0;1
1;1;2;14;1;2754;1;0;1
1;1;2;15;4;8267;1;0;0
1;1;2;16;1;11438;1;0;1
1;1;2;17;2;5035;2;0;1
1;1;2;18;4;2295;2;0;0
1;1;2;19;2;7017;2;0;1
1;1;2;20;2;3664;2;0;1
1;1;2;21;4;1569;3;0;0
1;1;2;22;1;6835;3;0;1
1;1;2;23;3;12375;3;0;0
1;1;2;24;1;6462;3;0;1
2;1;2;1;1;5018;1;1;0
2;1;2;2;4;15439;1;1;1
2;1;2;3;2;2847;1;1;0
2;1;2;4;2;1104;1;1;0
2;1;2;5;3;1838;2;1;1
2;1;2;6;2;4050;2;1;0
2;1;2;7;3;24242;2;1;1
2;1;2;8;4;8596;2;1;1
2;1;2;9;1;4104;3;1;0
2;1;2;10;2;2377;3;1;0
2;1;2;11;1;5436;3;1;0
2;1;2;12;4;3828;3;1;1
2;1;2;13;4;3091;1;0;0
2;1;2;14;4;6081;1;0;0
2;1;2;15;1;7441;1;0;1
2;1;2;16;1;1227;1;0;1
2;1;2;17;4;2561;2;0;0
2;1;2;18;1;3063;2;0;1
2;1;2;19;4;3882;2;0;0
2;1;2;20;1;6053;2;0;1
2;1;2;21;4;3892;3;0;0
2;1;2;22;4;1683;3;0;0
2;1;2;23;3;2158;3;0;0
2;1;2;24;4;2786;3;0;0
3;1;2;1;2;1829;1;1;0
3;1;2;2;3;4579;1;1;1
3;1;2;3;2;989;1;1;0
3;1;2;4;3;732;1;1;1
3;1;2;5;2;1499;2;1;0
3;1;2;6;3;734;2;1;1
3;1;2;7;1;5659;2;1;0
3;1;2;8;3;1238;2;1;1
3;1;2;9;3;2031;3;1;1
3;1;2;10;3;1094;3;1;1
3;1;2;11;2;1829;3;1;0
3;1;2;12;2;864;3;1;0
3;1;2;13;2;3051;1;0;1
3;1;2;14;3;1157;1;0;0
3;1;2;15;2;2363;1;0;1
3;1;2;16;3;2931;1;0;0
3;1;2;17;2;1265;2;0;1
3;1;2;18;2;3889;2;0;1
3;1;2;19;3;2149;2;0;0
3;1;2;20;2;4476;2;0;1
3;1;2;21;2;1062;3;0;1
3;1;2;22;2;4211;3;0;1
3;1;2;23;2;2038;3;0;1
3;1;2;24;1;1612;3;0;1
4;1;2;1;2;1303;1;1;0
4;1;2;2;3;4864;1;1;1
4;1;2;3;3;1474;1;1;1
4;1;2;4;3;1972;1;1;1
4;1;2;5;3;1989;2;1;1
4;1;2;6;3;1663;2;1;1
4;1;2;7;2;1891;2;1;0
4;1;2;8;3;10616;2;1;1
4;1;2;9;3;1810;3;1;1
4;1;2;10;3;4638;3;1;1
4;1;2;11;3;1756;3;1;1
4;1;2;12;2;2748;3;1;0
4;1;2;13;3;1686;1;0;0
4;1;2;14;3;3747;1;0;0
4;1;2;15;2;2061;1;0;1
4;1;2;16;3;1572;1;0;0
4;1;2;17;3;1680;2;0;0
4;1;2;18;2;3112;2;0;1
4;1;2;19;3;1531;2;0;0
4;1;2;20;2;1229;2;0;1
4;1;2;21;3;2117;3;0;0
4;1;2;22;3;1859;3;0;0
4;1;2;23;2;1710;3;0;1
4;1;2;24;3;2517;3;0;0
5;1;2;1;2;3302;1;1;0
5;1;2;2;3;1096;1;1;1
5;1;2;3;3;884;1;1;1
5;1;2;4;3;2241;1;1;1
5;1;2;5;2;2375;2;1;0
5;1;2;6;2;2069;2;1;0
5;1;2;7;2;2591;2;1;0
5;1;2;8;3;1265;2;1;1
5;1;2;9;2;1307;3;1;0
5;1;2;10;3;6542;3;1;1
5;1;2;11;2;3448;3;1;0
5;1;2;12;2;11076;3;1;0
5;1;2;13;3;1891;1;0;0
5;1;2;14;2;835;1;0;1
5;1;2;15;2;3309;1;0;1
5;1;2;16;2;1903;1;0;1
5;1;2;17;2;1792;2;0;1
5;1;2;18;2;1582;2;0;1
5;1;2;19;2;1785;2;0;1
5;1;2;20;2;1775;2;0;1
5;1;2;21;3;4303;3;0;0
5;1;2;22;3;2889;3;0;0
5;1;2;23;3;902;3;0;0
5;1;2;24;2;21021;3;0;1
6;1;2;1;3;4530;1;1;1
6;1;2;2;3;864;1;1;1
6;1;2;3;4;2468;1;1;1
6;1;2;4;1;1553;1;1;0
6;1;2;5;2;1378;2;1;0
6;1;2;6;1;5569;2;1;0
6;1;2;7;3;448;2;1;1
6;1;2;8;4;1502;2;1;1
6;1;2;9;1;676;3;1;0
6;1;2;10;3;1448;3;1;1
6;1;2;11;3;4412;3;1;1
6;1;2;12;3;4267;3;1;1
6;1;2;13;3;447;1;0;0
6;1;2;14;3;3684;1;0;0
6;1;2;15;1;1257;1;0;1
6;1;2;16;3;1451;1;0;0
6;1;2;17;3;1380;2;0;0
6;1;2;18;2;358;2;0;1
6;1;2;19;4;1044;2;0;0
6;1;2;20;1;2488;2;0;1
6;1;2;21;1;1108;3;0;1
6;1;2;22;1;1063;3;0;1
6;1;2;23;3;1475;3;0;0
6;1;2;24;2;2314;3;0;1
7;1;2;1;2;1835;1;1;0
7;1;2;2;1;3913;1;1;0
7;1;2;3;2;1886;1;1;0
7;1;2;4;3;3365;1;1;1
7;1;2;5;2;1206;2;1;0
7;1;2;6;4;3881;2;1;1
7;1;2;7;3;4892;2;1;1
7;1;2;8;2;3587;2;1;0
7;1;2;9;1;4436;3;1;0
7;1;2;10;3;4415;3;1;1
7;1;2;11;4;1599;3;1;1
7;1;2;12;2;2835;3;1;0
7;1;2;13;3;4125;1;0;0
7;1;2;14;1;2770;1;0;1
7;1;2;15;3;2997;1;0;0
7;1;2;16;4;3123;1;0;0
7;1;2;17;3;4389;2;0;0
7;1;2;18;4;4464;2;0;0
7;1;2;19;3;2629;2;0;0
7;1;2;20;4;2757;2;0;0
7;1;2;21;4;2741;3;0;0
7;1;2;22;3;11573;3;0;0
7;1;2;23;2;1446;3;0;1
7;1;2;24;2;2854;3;0;1
8;1;2;1;1;1318;1;1;0
8;1;2;2;2;2633;1;1;0
8;1;2;3;2;1948;1;1;0
8;1;2;4;1;2552;1;1;0
8;1;2;5;2;3170;2;1;0
8;1;2;6;1;1283;2;1;0
8;1;2;7;1;2171;2;1;0
8;1;2;8;3;10270;2;1;1
8;1;2;9;3;6848;3;1;1
8;1;2;10;1;1877;3;1;0
8;1;2;11;2;1878;3;1;0
8;1;2;12;1;2246;3;1;0
8;1;2;13;1;2332;1;0;1
8;1;2;14;1;1247;1;0;1
8;1;2;15;2;1272;1;0;1
8;1;2;16;2;2497;1;0;1
8;1;2;17;3;2148;2;0;0
8;1;2;18;1;1465;2;0;1
8;1;2;19;1;7098;2;0;1
8;1;2;20;3;2243;2;0;0
8;1;2;21;2;2621;3;0;1
8;1;2;22;3;2626;3;0;0
8;1;2;23;3;2125;3;0;0
8;1;2;24;2;3933;3;0;1
9;1;2;1;1;1814;1;1;0
9;1;2;2;1;3648;1;1;0
9;1;2;3;2;2640;1;1;0
9;1;2;4;1;2306;1;1;0
9;1;2;5;1;1763;2;1;0
9;1;2;6;1;4212;2;1;0
9;1;2;7;2;2160;2;1;0
9;1;2;8;1;3678;2;1;0
9;1;2;9;3;4232;3;1;1
9;1;2;10;2;2708;3;1;0
9;1;2;11;2;1349;3;1;0
9;1;2;12;1;4061;3;1;0
9;1;2;13;2;497;1;0;1
9;1;2;14;1;518;1;0;1
9;1;2;15;1;3165;1;0;1
9;1;2;16;1;1275;1;0;1
9;1;2;17;2;777;2;0;1
9;1;2;18;2;2758;2;0;1
9;1;2;19;1;1370;2;0;1
9;1;2;20;1;536;2;0;1
9;1;2;21;4;2836;3;0;0
9;1;2;22;4;1114;3;0;0
9;1;2;23;2;755;3;0;1
9;1;2;24;2;6364;3;0;1
10;1;2;1;1;1538;1;1;0
10;1;2;2;2;735;1;1;0
10;1;2;3;3;4032;1;1;1
10;1;2;4;3;1495;1;1;1
10;1;2;5;3;1036;2;1;1
10;1;2;6;2;1591;2;1;0
10;1;2;7;1;1929;2;1;0
10;1;2;8;2;1405;2;1;0
10;1;2;9;3;2682;3;1;1
10;1;2;10;2;5323;3;1;0
10;1;2;11;2;1331;3;1;0
10;1;2;12;3;5371;3;1;1
10;1;2;13;3;2004;1;0;0
10;1;2;14;3;2027;1;0;0
10;1;2;15;2;1790;1;0;1
10;1;2;16;3;1233;1;0;0
10;1;2;17;3;3302;2;0;0
10;1;2;18;1;1645;2;0;1
10;1;2;19;3;1452;2;0;0
10;1;2;20;3;2136;2;0;0
10;1;2;21;2;2438;3;0;1
10;1;2;22;3;1759;3;0;0
10;1;2;23;1;2165;3;0;1
10;1;2;24;3;1055;3;0;0
11;1;2;1;4;2663;1;1;1
11;1;2;2;3;2320;1;1;1
11;1;2;3;4;7533;1;1;1
11;1;2;4;2;3471;1;1;0
11;1;2;5;2;8555;2;1;0
11;1;2;6;4;2670;2;1;1
11;1;2;7;4;1693;2;1;1
11;1;2;8;4;4047;2;1;1
11;1;2;9;1;2749;3;1;0
11;1;2;10;3;2389;3;1;1
11;1;2;11;2;2843;3;1;0
11;1;2;12;4;1953;3;1;1
11;1;2;13;4;3644;1;0;0
11;1;2;14;1;15619;1;0;1
11;1;2;15;1;6187;1;0;1
11;1;2;16;4;12043;1;0;0
11;1;2;17;2;7926;2;0;1
11;1;2;18;1;3950;2;0;1
11;1;2;19;2;3916;2;0;1
11;1;2;20;1;8886;2;0;1
11;1;2;21;4;4306;3;0;0
11;1;2;22;3;5114;3;0;0
11;1;2;23;1;1363;3;0;1
11;1;2;24;3;2264;3;0;0
12;1;2;1;1;3552;1;1;0
12;1;2;2;3;1559;1;1;1
12;1;2;3;2;4507;1;1;0
12;1;2;4;2;2647;1;1;0
12;1;2;5;3;1709;2;1;1
12;1;2;6;2;1657;2;1;0
12;1;2;7;3;1983;2;1;1
12;1;2;8;3;1357;2;1;1
12;1;2;9;2;3199;3;1;0
12;1;2;10;3;3840;3;1;1
12;1;2;11;1;5389;3;1;0
12;1;2;12;3;1600;3;1;1
12;1;2;13;4;4329;1;0;0
12;1;2;14;3;2206;1;0;0
12;1;2;15;3;3836;1;0;0
12;1;2;16;2;8674;1;0;1
12;1;2;17;3;1376;2;0;0
12;1;2;18;1;3525;2;0;1
12;1;2;19;3;4687;2;0;0
12;1;2;20;3;3811;2;0;0
12;1;2;21;2;3259;3;0;1
12;1;2;22;2;3664;3;0;1
12;1;2;23;1;1706;3;0;1
12;1;2;24;2;2493;3;0;1
